ID_1,ID_2,Hiragana,H_Origin_Manyogana,H_pic_path,Katakana,K_Origin_Kanji,K_pic_path,hira_vs_kata,Meaning,Kun'yomi,On'yomi
1,a,あ,安,assets\doc\kana_manyo\a.png,ア,阿,assets\doc\kana_manyo\a2.png,FALSE,"Peace, Safety",やす(い),アン
2,i,い,以,assets\doc\kana_manyo\i.png,イ,伊,assets\doc\kana_manyo\i2.png,FALSE,By means of,もっ(て),イ
3,u,う,宇,assets\doc\kana_manyo\u.png,ウ,宇,assets\doc\kana_manyo\u2.png,TRUE,"Roof, House",う,ウ
4,e,え,衣,assets\doc\kana_manyo\e.png,エ,江,assets\doc\kana_manyo\e2.png,FALSE,"Bay, Inlet",え,コウ
5,o,お,於,assets\doc\kana_manyo\o.png,オ,於,assets\doc\kana_manyo\o2.png,TRUE,"At, In, On",お,オ
6,ka,か,加,assets\doc\kana_manyo\ka.png,カ,加,assets\doc\kana_manyo\ka2.png,TRUE,"Add, Increase",くわ(える),カ
7,ki,き,幾,assets\doc\kana_manyo\ki.png,キ,幾,assets\doc\kana_manyo\ki2.png,TRUE,"How many, Some",いく,キ
8,ku,く,久,assets\doc\kana_manyo\ku.png,ク,久,assets\doc\kana_manyo\ku2.png,TRUE,"Long time, Hisashii",ひさ(しい),キュウ
9,ke,け,計,assets\doc\kana_manyo\ke.png,ケ,介,assets\doc\kana_manyo\ke2.png,FALSE,"Mediate, Shell",かい,カイ
10,ko,こ,己,assets\doc\kana_manyo\ko.png,コ,己,assets\doc\kana_manyo\ko2.png,TRUE,"Self, Snake",おのれ,コ、キ
11,sa,さ,左,assets\doc\kana_manyo\sa.png,サ,散,assets\doc\kana_manyo\sa2.png,FALSE,Left,ひだり,サ
12,si,し,之,assets\doc\kana_manyo\si.png,シ,之,assets\doc\kana_manyo\si2.png,TRUE,"Of, This",の,シ
13,su,す,寸,assets\doc\kana_manyo\su.png,ス,須,assets\doc\kana_manyo\su2.png,FALSE,Measurement unit,すん,スン
14,se,せ,世,assets\doc\kana_manyo\se.png,セ,世,assets\doc\kana_manyo\se2.png,TRUE,"World, Generation",よ,セイ、セ
15,so,そ,曽,assets\doc\kana_manyo\so.png,ソ,曽,assets\doc\kana_manyo\so2.png,TRUE,"Once, Previously",かつ(て),ソウ
16,ta,た,太,assets\doc\kana_manyo\ta.png,タ,多,assets\doc\kana_manyo\ta2.png,FALSE,"Many, Much",おお(い),タ
17,ti,ち,知,assets\doc\kana_manyo\ti.png,チ,千,assets\doc\kana_manyo\ti2.png,FALSE,"Knowledge, Wisdom",し(る),チ
18,tu,つ,川,assets\doc\kana_manyo\tu.png,ツ,川,assets\doc\kana_manyo\tu2.png,TRUE,River,かわ,セン
19,te,て,天,assets\doc\kana_manyo\te.png,テ,天,assets\doc\kana_manyo\te2.png,TRUE,Heaven,あめ,テン
20,to,と,止,assets\doc\kana_manyo\to.png,ト,止,assets\doc\kana_manyo\to2.png,TRUE,Stop,と(まる),シ
