ID,Kanji,Old_Kanji,Radical,Year of Inclusion,Strokes,Grade,JLPT-test,Name of Radical,English Meaning,Tamil Meaning,Reading within Joyo,Reading beyond Joyo,Kanji Classification,On within Joyo,Kun within Joyo,Stroke Order Image
41,一,,一,1981,1,1,5,Ichi,one,ஒன்று,イチ、イツ、ひと、ひと-つ,,指事 Ideographic,"ichi, itsu","hito, hito(tsu)",一.gif
58,右,,口,1981,5,1,5,"Kuchi, Kuchihen",right (direction),"வலம், வலது",ウ、ユウ、みぎ,,会意 Com. Ideographic,"u, yuu",migi,右.gif
61,雨,,雨,1981,8,1,5,"Ame, Amekanmuri",rain,மழை,ウ、あめ、[あま],,象形 Pictographic,u,"ame, [ama]",雨.gif
87,円,圓,囗,1981,4,1,5,Doogamae,"round, yen","வட்டம், என் (ஜப்பானிய பணம்)",エン、まる-い,まど,形声 Phonetic,en,maru(i),円.gif
105,王,,玉,1981,4,1,3,"Tama, Oo",king,"ராஜா, அரசன்",オウ,,象形 Pictographic,oo,-,王.gif
127,音,,音,1981,9,1,4,Oto,sound,சத்தம்,オン、イン、おと、ね,,会意 Com. Ideographic,"on, in","oto, ne",音.gif
131,下,,一,1981,3,1,5,Ichi,below,கீழ்,カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる,,指事 Ideographic,"ka, ge","shita, shimo, moto, sa(geru), sa(garu), kuda(ru), kuda(su), kuda(saru), o(rosu), o(riru)",下.gif
133,火,,火,1981,4,1,5,"Hi, Hihen, Renga",fire,தீ,カ、ひ、[ほ],コ,象形 Pictographic,ka,"hi, [ho]",火.gif
138,花,,艸,1981,7,1,4,Kusakanmuri,flower,பூ,カ、はな,ケ、ゲ、あや,形声 Phonetic,ka,hana,花.gif
196,貝,,貝,1981,7,1,2,"Kai, Kaihen",shellfish,சிப்பி மீன்,かい,,象形 Pictographic,-,kai,貝.gif
226,学,學,子,1981,8,1,5,"Ko, Kohen",study,"படிப்பு, கல்வி",ガク、まな-ぶ,,会意 Com. Ideographic,gaku,mana(bu),学.gif
305,気,氣,气,1981,6,1,5,Kigamae,feeling,"உணர்வு, ஆவி",キ、ケ,いき,形声 Phonetic,"ki, ke",-,気.gif
359,九,,乙,1981,2,1,5,"Otsu, Otsunyoo",nine,ஒன்பது,キュウ、ク、ここの、ここの-つ,,象形 Pictographic,"kyuu, ku","kokono, kokono(tsu)",九.gif
365,休,,人,1981,6,1,5,"Hito, Ninben, Hitoyane",rest,ஓய்வு,キュウ、やす-む、やす-まる、やす-める,,会意 Com. Ideographic,kyuu,"yasu(mu), yasu(maru), yasu(meru)",休.gif
427,玉,,玉,1981,5,1,2,"Tama, Oo",ball,பந்து,ギョク、たま,,象形 Pictographic,gyoku,tama,玉.gif
432,金,,金,1981,8,1,5,"Kane, Kanehen",gold,தங்கம்,キン、コン、かね、[かな],こがね,象形 Pictographic,"kin, kon","kane, [kana]",金.gif
452,空,,穴,1981,8,1,4,"Ana, Anakanmuri",sky,வானம்,クウ、そら、あ-く、あ-ける、から,むな,形声 Phonetic,kuu,"sora, a(ku), a(keru), kara",空.gif
513,月,,月,1981,4,1,5,"Tsuki, Tsukihen","month, moon","திங்கள் (மாதம், நிலவு)",ゲツ、ガツ、つき,,象形 Pictographic,"getsu, gatsu",tsuki,月.gif
514,犬,,犬,1981,4,1,4,"Inu, Kemonohen",dog,நாய்,ケン、いぬ,,象形 Pictographic,ken,inu,犬.gif
516,見,,見,1981,7,1,5,Miru,see,"காண், பார்",ケン、み-る、み-える、み-せる,まみ、ら,象形 Pictographic,ken,"mi(ru), mi(eru), mi(seru)",見.gif
576,五,,二,1981,4,1,5,Ni,five,ஐந்து,ゴ、いつ、いつ-つ,,仮借 Loan,go,"itsu, itsu(tsu)",五.gif
587,口,,口,1981,3,1,4,"Kuchi, Kuchihen",mouth,வாய்,コウ、ク、くち,,象形 Pictographic,"koo, ku",kuchi,口.gif
623,校,,木,1981,10,1,5,"Ki, Kihen",school,பள்ளி,コウ,ギョウ,形声 Phonetic,koo,-,校.gif
682,左,,工,1981,5,1,5,"E, Takumihen",left (direction),"இடம், இடது",サ、ひだり,,会意 Com. Ideographic,sa,hidari,左.gif
744,三,,一,1981,3,1,5,Ichi,three,மூன்று,サン、み、み-つ、みっ-つ,,指事 Ideographic,san,"mi, mi(tsu), mit(tsu)",三.gif
745,山,,山,1981,3,1,5,"Yama, Yamahen",mountain,மலை,サン、やま,セン、ゼン,象形 Pictographic,san,yama,山.gif
760,子,,子,1981,3,1,5,"Ko, Kohen",child,குழந்தை,シ、ス、こ,み、ね,象形 Pictographic,"shi, su",ko,子.gif
767,四,,囗,1981,5,1,5,Kunigamae,four,நான்கு,シ、よ、よ-つ、よっ-つ、よん,,指事 Ideographic,shi,"yo, yo(tsu), yot(tsu), yon",四.gif
772,糸,絲,糸,1981,6,1,2,"Ito, Itohen",thread,நூல்,シ、いと,,会意 Com. Ideographic,shi,ito,糸.gif
807,字,,子,1981,6,1,4,"Ko, Kohen",letter,எழுத்து,ジ、あざ,,会意 Com. Ideographic,ji,aza,字.gif
810,耳,,耳,1981,6,1,4,"Mimi, Mimihen",ear,காது,ジ、みみ,,象形 Pictographic,ji,mimi,耳.gif
829,七,,一,1981,2,1,5,Ichi,seven,ஏழு,シチ、なな、なな-つ、[なの],シツ,仮借 Loan,shichi,"nana, nana(tsu), [nano]",七.gif
843,車,,車,1981,7,1,5,"Kuruma, Kurumahen",car,"வண்டி, கார்",シャ、くるま,,象形 Pictographic,sha,kuruma,車.gif
863,手,,手,1981,4,1,4,Te,hand,கை,シュ、て、[た],ズ,象形 Pictographic,shu,"te, [ta]",手.gif
907,十,,十,1981,2,1,5,Juu,ten,பத்து,ジュウ、ジッ、とお、と,,指事 Ideographic,"juu, jiQ","too, to",十.gif
926,出,,凵,1981,5,1,5,Ukebako,exit,வெளியேறு,シュツ、[スイ]、で-る、だ-す,,象形 Pictographic,"shutsu, [sui]","de(ru), da(su)",出.gif
952,女,,女,1981,3,1,5,"Onna, Onnahen",woman,பெண்,ジョ、ニョ、[ニョウ]、おんな、め,,象形 Pictographic,"jo, nyo, [nyoo]","onna, me",女.gif
959,小,,小,1981,3,1,5,Shoo,small,சிறியது,ショウ、ちい-さい、こ、お,,象形 Pictographic,shoo,"chii(sai), ko, o",小.gif
1009,上,,一,1981,3,1,5,Ichi,up,மேல்,ジョウ、[ショウ]、うえ、[うわ]、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す,,指事 Ideographic,"joo, [shoo]","ue, [uwa], kami, a(geru), a(garu), nobo(ru), nobo(seru), nobo(su)",上.gif
1061,森,,木,1981,12,1,3,"Ki, Kihen",forest,அடற்காடு,シン、もり,,会意 Com. Ideographic,shin,mori,森.gif
1070,人,,人,1981,2,1,5,"Hito, Ninben, Hitoyane",person,"நபர், மனிதன்",ジン、ニン、ひと,,象形 Pictographic,"jin, nin",hito,人.gif
1081,水,,水,1981,4,1,5,"Mizu, Sanzui, Shitamizu",water,நீர்,スイ、みず,,象形 Pictographic,sui,mizu,水.gif
1106,正,,止,1981,5,1,4,Tomeru,correct,"சரி,",セイ、ショウ、ただ-しい、ただ-す、まさ,,会意 Com. Ideographic,"sei, shoo","tada(shii), tada(su), masa",正.gif
1107,生,,生,1981,5,1,5,Umareru,life,வாழ்க்கை,セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま,な,象形 Pictographic,"sei, shoo","i(kiru), i(kasu), i(keru), u(mareru), u(mu), o(u), ha(eru), ha(yasu), ki, nama",生.gif
1115,青,,靑,1981,8,1,4,"Ao, Aohen",blue,நீலம்,セイ、[ショウ]、あお、あお-い,,形声 Phonetic,"sei, [shoo]","ao, ao(i)",青.gif
1138,夕,,夕,1981,3,1,4,Yuube,evening,மாலை,セキ、ゆう,,象形 Pictographic,seki,yuu,夕.gif
1140,石,,石,1981,5,1,3,"Ishi, Ishihen",stone,கல்,セキ、[シャク]、[コク]、いし,,会意 Com. Ideographic,"seki, [shaku], [koku]",ishi,石.gif
1141,赤,,赤,1981,7,1,4,Aka,red,சிவப்பு,セキ、[シャク]、あか、あか-い、あか-らむ、あか-らめる,,会意 Com. Ideographic,"seki, [shaku]","aka, aka(i), aka(ramu), aka(rameru)",赤.gif
1166,千,,十,1981,3,1,5,Juu,thousand,ஆயிரம்,セン、ち,,形声 Phonetic,sen,chi,千.gif
1167,川,,巛,1981,3,1,5,Magarigawa,river,ஆறு,セン、かわ,,象形 Pictographic,sen,kawa,川.gif
1170,先,,儿,1981,6,1,5,Hitoashi,previous,முந்தைய,セン、さき,ま,会意 Com. Ideographic,sen,saki,先.gif
1219,早,,日,1981,6,1,4,"Nichi, Nichihen",early,வெள்ளென,ソウ、[サッ]、はや-い、はや-まる、はや-める,さ,仮借 Loan,"soo, [saQ]","haya(i), haya(maru), haya(meru)",早.gif
1225,草,,艸,1981,9,1,3,Kusakanmuri,grass,புல்,ソウ、くさ,,形声 Phonetic,soo,kusa,草.gif
1263,足,,足,1981,7,1,4,"Ashi, Ashihen",foot,கால்,ソク、あし、た-りる、た-る、た-す,ス,象形 Pictographic,soku,"ashi, ta(riru), ta(ru), ta(su)",足.gif
1279,村,,木,1981,7,1,3,"Ki, Kihen",village,கிராமம்,ソン、むら,,形声 Phonetic,son,mura,村.gif
1312,大,,大,1981,3,1,5,Dai,large,பெரியது,ダイ、タイ、おお、おお-きい、おお-いに,ダ,象形 Pictographic,"dai, tai","oo, oo(kii), oo(ini)",大.gif
1348,男,,田,1981,7,1,5,"Ta, Tahen",male,ஆண்,ダン、ナン、おとこ,,会意 Com. Ideographic,"dan, nan",otoko,男.gif
1366,竹,,竹,1981,6,1,2,"Take, Takekanmuri",bamboo,மூங்கில்,チク、たけ,,象形 Pictographic,chiku,take,竹.gif
1376,中,,丨,1981,4,1,5,Boo,middle,நடு,チュウ、[ジュウ]、なか,うち、あ,象形 Pictographic,"chuu, [jyuu]",naka,中.gif
1378,虫,蟲,虫,1981,6,1,2,"Mushi, Mushihen",insect,பூச்சி,チュウ、むし,,会意 Com. Ideographic,chuu,mushi,虫.gif
1396,町,,田,1981,7,1,4,"Ta, Tahen",town,நகரம்,チョウ、まち,,形声 Phonetic,choo,machi,町.gif
1472,天,,大,1981,4,1,5,Dai,heaven,"வான், வானம்",テン、あめ、[あま],,象形 Pictographic,ten,"ame, [ama]",天.gif
1480,田,,田,1981,5,1,4,"Ta, Tahen",rice paddy,"கழனி, விவசாய நிலம்",デン、た,かり、がり,象形 Pictographic,den,ta,田.gif
1493,土,,土,1981,3,1,5,"Tsuchi, Tsuchihen",soil,"மண், நிலம்",ド、ト、つち,ツ,象形 Pictographic,"do, to",tsuchi,土.gif
1577,二,,二,1981,2,1,5,Ni,two,இரண்டு,ニ、ふた、ふた-つ,ジ,指事 Ideographic,ni,"futa, futa(tsu)",二.gif
1583,日,,日,1981,4,1,5,"Nichi, Nichihen",day,"ஞாயிறு (நாள், கதிரவன்)",ニチ、ジツ、ひ、か,,象形 Pictographic,"nichi, jitsu","hi, ka",日.gif
1584,入,,入,1981,2,1,5,Iru,enter,நுழை,ニュウ、い-る、い-れる、はい-る,ジュ、しお,象形 Pictographic,nyuu,"i(ru), i(reru), hai(ru)",入.gif
1593,年,,干,1981,6,1,5,Ichijuu,year,"வருடம், ஆண்டு",ネン、とし,,会意 Com. Ideographic,nen,toshi,年.gif
1630,白,,白,1981,5,1,5,Shiro,white,வெள்ளை,ハク、ビャク、しろ、[しら]、しろ-い,,象形 Pictographic,"haku, byaku","shiro, [shira], shiro(i)",白.gif
